Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15-Jul-15,15.51,17.25,15.5,16.47,16.24286247,541854,916,8801260,393866,72.69,1.75,0.96
14-Jul-15,14.7,15.5,14.51,15.23,15.00467263,155801,354,2337743,114184,73.29,0.99,0.53
13-Jul-15,13.75,14.54,13.64,14.43,14.32393646,115393,279,1652882,97116,84.16,0.9,0.68
10-Jul-15,14,14.4,13.5,13.71,13.88722047,55808,146,775018,41350,74.09,0.9,-0.29
9-Jul-15,13.6,14.75,13.6,14.16,14.3199038,127232,351,1821950,98788,77.64,1.15,0.56
8-Jul-15,13.2,14.05,13.2,13.69,13.78252244,40326,105,555794,31496,78.1,0.85,0.49
7-Jul-15,13.8,14.3,13.6,13.78,13.8989191,52364,159,727803,39364,75.17,0.7,-0.02
6-Jul-15,12.5,14.5,12.5,13.72,13.55668603,107231,259,1453697,65532,61.11,2,1.22
3-Jul-15,12.8,13.39,12.55,12.76,12.94404705,46414,166,600785,33466,72.1,0.84,-0.04
2-Jul-15,13.21,13.24,12.55,12.84,12.9960314,34269,166,445361,21571,62.95,0.69,-0.37
1-Jul-15,13.21,13.75,12.9,13.2,13.36712384,34487,179,460992,15854,45.97,0.85,-0.01
30-Jun-15,12.81,13.77,12.62,13.37,13.33318034,198271,338,2643583,140543,70.88,1.15,0.56
29-Jun-15,12.8,13,12.21,12.89,12.79917961,154073,127,1972008,137856,89.47,0.79,0.09
26-Jun-15,13.75,13.75,13.11,13.25,13.28477308,47659,150,633139,34111,71.57,0.64,-0.5
25-Jun-15,13.51,14.77,13.3,13.65,14.11560968,132610,354,1871871,92739,69.93,1.47,0.14
24-Jun-15,11.25,14,11.25,13.91,13.64244003,610485,1049,8328505,235350,38.55,2.75,2.66
23-Jun-15,11.5,11.84,11.25,11.67,11.59190709,11022,49,127766,9282,84.21,0.59,0.17
22-Jun-15,11.55,11.79,11.42,11.66,11.55162527,93123,75,1075722,82425,88.51,0.37,0.11
19-Jun-15,11.55,11.67,11.15,11.52,11.40891134,15441,51,176165,8464,54.82,0.52,-0.03
18-Jun-15,10.96,11.48,10.92,11.2,11.23961974,14306,82,160794,7487,52.33,0.56,0.24
17-Jun-15,10.8,11.4,10.76,10.86,11.03860472,58827,80,649368,50097,85.16,0.64,0.06
16-Jun-15,11.04,11.28,10.75,11,11.04780496,11526,40,127337,9726,84.38,0.53,-0.04
15-Jun-15,10.85,11.75,10.85,11.27,11.52358245,13421,49,154658,10283,76.62,0.9,0.42
12-Jun-15,11.51,11.78,10.9,11.38,11.15210062,46272,89,516030,34266,74.05,0.88,-0.13
11-Jun-15,11.92,12,11.55,11.6,11.67801193,12575,52,146851,10266,81.64,0.45,-0.32
10-Jun-15,11.92,12.09,11.55,11.92,11.93196571,20181,69,240799,17734,87.87,0.54,0
9-Jun-15,11.1,12,11.1,11.72,11.594968,13752,51,159454,10026,72.91,0.9,0.62
8-Jun-15,11.01,12.33,11,11.86,11.74854775,29437,73,345842,19908,67.63,1.33,0.85
5-Jun-15,11.85,11.98,11.05,11.41,11.42776648,23604,60,269741,20570,87.15,0.93,-0.44
4-Jun-15,10.5,12,10.5,11.72,11.3378913,23256,55,263674,18191,78.22,1.5,1.22
3-Jun-15,11.1,11.48,10.75,11.19,10.9470154,28178,65,308465,21701,77.01,0.73,0.09
2-Jun-15,11.2,11.89,11.2,11.61,11.5618545,26530,63,306736,19636,74.01,0.69,0.41
1-Jun-15,11.25,11.6,11,11.39,11.39521225,42567,72,485060,33664,79.08,0.6,0.14
29-May-15,11.3,11.85,11,11.32,11.32361529,45208,88,511918,38521,85.21,0.85,0.02
28-May-15,12.19,12.24,11.27,11.47,11.63078969,51881,72,603417,42637,82.18,0.97,-0.72
27-May-15,11.7,11.92,11.7,11.77,11.7625887,11697,27,137587,10457,89.4,0.22,0.07
26-May-15,12.3,12.3,11.57,11.89,11.76794477,12023,50,141486,7025,58.43,0.73,-0.41
25-May-15,11.9,12,11.56,11.85,11.72220706,18323,75,214786,13876,75.73,0.44,-0.05
